State,Name,Subname,Stats 55% 100%,Leader Skill,Passive Name,Passive Skill,Active Skill,Super Attack (12 Ki) Name,Super Attack (12 Ki) Effect,Ultra Super Attack (18 Ki) Name,Ultra Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition,Release Date,Ki Multiplier,Highest DMG Multiplier,LR 12 Ki DMG Multiplier
Base,Super Saiyan Goten (Kid),Vigorous Strength,"Base Max Lv 55% 100% | HP 3,026 13,359 15,359 17,959 | ATK 2,640 11,655 13,655 17,055 | DEF 1,480 6,533 8,533 11,533","""Gifted Warriors"" Category Ki +3 and HP, ATK & DEF +130%",Brother's Lessons,"ATK & DEF +180%, Plus an additional ATK & DEF +20% with each attack performed (up to 100%), Plus an additional ATK & DEF +100% and high chance of evading enemy's attack (including Super Attack) when there is another ""Gifted Warriors"" or ""Siblings' Bond"" Category ally attacking in the same turn, Chance of evading enemy's attack (including Super Attack) +20% and high chance of launching an additional Super Attack as the 2nd or 3rd attacker in a turn, ""Gifted Warriors"" or ""Siblings' Bond"" Category allies' Ki +3 and ATK & DEF +60%",,Kamekameha,Raises ATK & DEF for 1 turn and causes supreme damage to enemy,,,"The Innocents, Saiyan Warrior Race, Super Saiyan, The Saiyan Lineage, Kamehameha, Budding Warrior, Fierce Battle","Majin Buu Saga, Hybrid Saiyans, Goku's Family, Youth, Super Saiyans, Kamehameha, Bond of Parent and Child, Siblings' Bond, Bond of Friendship, World Tournament, Tournament Participants, Earth-Bred Fighters, Gifted Warriors",,"Dec 17, 2024",140%,530%,
Base,Super Saiyan 2 Vegeta (Angel),A Promise Made to Kakarot,"Base Max Lv 55% 100% | HP 5,007 16,688 18,688 22,088 | ATK 4,748 15,825 17,825 20,825 | DEF 2,674 8,913 10,913 13,513","""Worthy Rivals"" Category Ki +4 and HP, ATK & DEF +170%; or Super PHY Type Ki +4 and HP, ATK & DEF +100%",Vegeta's Determination,"Ki +2 and ATK & DEF +200%, Plus an additional Ki +2 and ATK +100% for 5 turns from the character's entry turn, Plus an additional ATK & DEF +10% each time Ki rises by 1 (up to 180%), Guards all attacks and launches an additional Super Attack when Ki is 18 or more, After all allies attacking in the same turn have obtained a Ki Sphere, all allies' DEF +10% (self excluded) per Ki obtained by the character himself (count starts from the 18th Ki), Plus an additional Ki +4 and ATK & DEF +59% when the name of an ally who is attacking in the same turn or an enemy includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded), Plus an additional Ki +4 and ATK & DEF +59% when there is a ""Majin Buu Saga"" Category ally whose name includes ""Goku"" attacking in the same turn","Active Skill Vegeta & Kakarot Condition: Can be activated when there is a ""Majin Buu Saga"" Category ally whose name includes ""Goku"" attacking in the same turn starting from the 3rd turn from the start of battle (once only) Ki +1, ATK +59% and DEF +78% for 1 turn Animation: Play",Final Burst Cannon,Greatly raises DEF for 1 turn and causes colossal damage to enemy,Big Bang Attack,"Raises ATK & DEF for 1 turn, causes mega-colossal damage to enemy and greatly lowers DEF","Saiyan Warrior Race, Prodigies, Super Saiyan, Royal Lineage, Golden Warrior, Fierce Battle, Legendary Power","Majin Buu Saga, Pure Saiyans, Vegeta's Family, Super Saiyan 2, Power Beyond Super Saiyan, Mastered Evolution, Time Limit, Worthy Rivals, Bond of Parent and Child, Gifted Warriors, Otherworld Warriors, Resurrected Warriors, Connected Hope, All-Out Struggle, Battle of Fate",,"Dec 17, 2024",200%,450%,
Base,Hell Fighter #17,Poised Declaration of War,"Base Max Lv 55% 100% | HP 2,321 7,662 8,862 10,662 | ATK 2,520 8,319 9,519 11,559 | DEF 1,562 5,155 6,355 7,915","STR Type Ki +3 and HP, ATK & DEF +70%",Key of the Plan,"ATK & DEF +170%, High chance of evading enemy's attack (including Super Attack), Plus an additional ATK & DEF +170% and chance of evading enemy's attack (including Super Attack) +17% when performing a Super Attack, Plus an additional ATK +100% and DEF +70% and launches an additional attack that has a high chance of becoming a Super Attack when there is another ""Androids"" or ""Artificial Life Forms"" Category ally attacking in the same turn, ""Androids"" Category allies' Ki +1, ATK +30% and DEF +20%, ""Artificial Life Forms"" Category allies' Ki +1, ATK +30% and DEF +20%",,Hell Breaker,"Raises ATK & DEF for 1 turn, causes supreme damage to enemy and greatly lowers ATK",,,"Brutal Beatdown, Android Assault, Shocking Speed, GT, Nightmare, Fear and Faith, Shattering the Limit","Androids, Artificial Life Forms, Target: Goku",,"Dec 13, 2024",140%,430%,
Base,Pan (Kid),Promising Girl,"Base Max Lv 55% 100% | HP 2,123 9,372 10,572 12,132 | ATK 2,498 11,026 12,226 14,026 | DEF 1,689 7,455 8,655 10,695","Super AGL Type Ki +3 and HP, ATK & DEF +120%",Smallest Martial Artist in the House,"ATK & DEF +200%, High chance of evading enemy's attack (including Super Attack), Plus an additional ATK & DEF +100% and chance of evading enemy's attack (including Super Attack) +20% within the same turn before the character receives an attack, Plus an additional ATK & DEF +150% for 5 turns after evading an attack, Ki +3, all attacks become critical hits and launches an additional attack that has a high chance of becoming a Super Attack as the 1st attacker in a turn, Launches an additional Super Attack as the 2nd or 3rd attacker in a turn, Plus an additional ATK +100% when the target enemy's Super Attack is sealed",,Maiden Smash,"Raises ATK for 4 turns, greatly raises DEF for 1 turn, causes supreme damage to enemy and seals Super Attack",,,"All in the Family, Infighter, The Saiyan Lineage, Battlefield Diva, Supreme Power, World Tournament Reborn, Shattering the Limit","Majin Buu Saga, Hybrid Saiyans, Goku's Family, Youth, Bond of Parent and Child, World Tournament, Tournament Participants, Earth-Bred Fighters",,"Dec 13, 2024",145%,530%,
Base,Android #18,Razor-Sharp Swift Attack,"Base Max Lv 55% 100% | HP 2,095 9,246 10,446 12,246 | ATK 2,555 11,276 12,476 14,276 | DEF 1,632 7,206 8,406 10,206","Super INT Type Ki +3 and HP, ATK & DEF +110%",Eye-Opening Performance,"Ki +3 and ATK & DEF +180%, Launches an additional attack that has a medium chance of becoming a Super Attack, Plus an additional ATK & DEF +180% for 3 turns after receiving an attack, High chance of evading enemy's attack (including Super Attack), Plus an additional ATK +180% and launches an additional attack that has a medium chance of becoming a Super Attack for 3 turns after evading an attack, Launches an additional Super Attack when there is another ""Androids"" Category ally on the team",,Destructo-Disc,Causes supreme damage to enemy and raises ATK & DEF by 50% for 3 turns,,,"Android Assault, Battlefield Diva, Brainiacs, Twin Terrors, Shocking Speed, Infinite Energy, Shattering the Limit","Majin Buu Saga, Androids, Peppy Gals, Worthy Rivals, Siblings' Bond, Battle of Wits",,"Dec 13, 2024",140%,480%,
Base,Grandpa Gohan,Masterful Strike,"Base Max Lv 55% 100% | HP 1,927 8,505 9,705 11,265 | ATK 2,472 10,910 12,110 13,910 | DEF 1,438 6,350 7,550 9,590","AGL Type Ki +3 and HP, ATK & DEF +100%",Warm Love,"ATK & DEF +150%, Ki +3 plus an additional ATK & DEF +150% when there is an ally or enemy whose name includes ""Goku (Youth)"", High chance of evading enemy's attack (including Super Attack), Plus an additional chance of evading enemy's attack (including Super Attack) +15% for 1 turn from the character's entry turn, Plus an additional chance of evading enemy's attack (including Super Attack) +5% per ""DB Saga"" Category ally attacking in the same turn, Plus an additional chance of evading enemy's attack (including Super Attack) +5% starting from the turn in which the character evades the 5th attack in battle, Plus an additional chance of evading enemy's attack (including Super Attack) +8% starting from the turn in which the character evades the 8th attack in battle, Plus an additional ATK & DEF +150% and high chance of performing a critical hit for 5 turns after evading an attack, Attacked enemy's ATK -30% for 2 turns",,Kamehameha,"Raises DEF for 1 turn, causes supreme damage to enemy and greatly lowers DEF",,,"Turtle School, Kamehameha, All in the Family, Supreme Warrior, The Incredible Adventure, Guidance of the Dragon Balls, Shattering the Limit","DB Saga, Earthlings, Goku's Family, Kamehameha, Time Limit, Bond of Parent and Child, Bond of Master and Disciple, Turtle School, Earth-Bred Fighters, Otherworld Warriors",,"Dec 13, 2024",140%,530%,
Base,Super Saiyan 3 Gotenks,Audacious Finish,"Base Max Lv 55% 100% | HP 4,799 15,838 17,838 20,438 | ATK 4,654 15,360 17,360 20,760 | DEF 3,183 10,506 12,506 15,506","""Majin Buu Saga"" Category Ki +3 and HP, ATK & DEF +200%",Time-Bound Dead Heat,"Ki +7 and ATK & DEF +200%, Plus an additional DEF +77% when receiving an attack and after receiving an attack, plus an additional ATK +77% within the same turn, Reduces damage received by 22% for 5 turns from the character's entry turn, Plus an additional DEF +77% and reduces damage received by 33% when there is another ""Final Trump Card"" Category ally on the team, Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres, Plus an additional Ki +1 per Ki Sphere obtained, Plus an additional ATK & DEF +100% when Ki is 12 or more, Plus an additional ATK +77% and launches an additional Super Attack when Ki is 18 or more, Plus an additional ATK +77% and performs a critical hit when activating the Active Skill or when Ki is 24, High chance of an additional DEF +777% within the same turn when receiving a Super Attack, Reduces damage received by 44% temporarily and counters with ferocious power when receiving a Ki Blast Super Attack","Active Skill Super Ghost Kamikaze Attack Condition: Can be activated after the character receives an attack 3 or more times in battle, or when there is another ""Final Trump Card"" Category ally attacking in the same turn starting from the 4th turn from the start of battle (once only) Massively raises ATK temporarily and causes ultimate damage to enemy; DEF +77% for 1 turn Animation: Ultimate Special",Super Kamehameha,Greatly raises ATK & DEF for 1 turn and causes colossal damage to enemy,Die Die Missile Barrage,"Greatly raises ATK & DEF for 1 turn, causes mega-colossal damage to enemy and greatly lowers DEF","Super Saiyan, Fused Fighter, Over in a Flash, Kamehameha, The Innocents, Fierce Battle, Legendary Power","Majin Buu Saga, Hybrid Saiyans, Youth, Super Saiyan 3, Power Beyond Super Saiyan, Fusion, Fused Fighters, Kamehameha, Rapid Growth, Mastered Evolution, Time Limit, Final Trump Card, Earth-Bred Fighters, Gifted Warriors, Saviors, Connected Hope, Entrusted Will, Heavenly Events, Special Pose",,"Dec 12, 2024",200%,570%,425%
Base,Jiren,Solitary Iron Wall of Power,"Base Max Lv 55% 100% | HP 5,443 17,963 19,963 22,563 | ATK 4,731 15,615 17,615 20,615 | DEF 2,765 9,125 11,125 14,525","""Universe 11"" Category Ki +4 and HP, ATK & DEF +200%; or ""Universe Survival Saga"" Category Ki +3 and HP, ATK & DEF +200%",Now the Burden of Weakness Falls Upon You,"Ki +8 and ATK & DEF +350%, Disables the attacked enemy's action once within the turn (once only) for 1 turn from the character's entry turn, Reduces damage received by 50%, Plus an additional ATK & DEF +50% when attacking, Great chance of performing a critical hit plus an additional ATK +100% and an additional damage reduction of 11% as the 2nd or 3rd attacker in a turn",,Completed Power,Raises ATK & DEF for 1 turn and causes colossal damage to enemy,Overheat Magnetron,Greatly raises ATK & DEF for 1 turn and causes mega-colossal damage with a high chance of stunning the enemy,"Supreme Warrior, Shocking Speed, Infighter, Godly Power, Tournament of Power, Fierce Battle, Legendary Power","Universe Survival Saga, Transformation Boost, Realm of Gods, Full Power, Powerful Comeback, Universe 11, Super Bosses, Tournament Participants, Space-Traveling Warriors, Defenders of Justice, Battle of Fate",Can be activated starting from the 3rd turn from the character's entry turn (once only),"Dec 12, 2024",200%,570%,425%
Transformation,Jiren,Solitary Iron Wall of Power,"Base Max Lv 55% 100% | HP 5,443 17,963 19,963 22,563 | ATK 4,731 15,615 17,615 20,615 | DEF 2,765 9,125 11,125 14,525","""Universe 11"" Category Ki +4 and HP, ATK & DEF +200%; or ""Universe Survival Saga"" Category Ki +3 and HP, ATK & DEF +200%",The Time Has Come...,"Unable to attack, DEF +350%, All allies' Ki +3, Reduces damage received by 50% and with each Ki Sphere obtained, plus an additional damage reduction of 11%, Plus an additional DEF +100% when receiving an attack, Randomly changes Ki Spheres of a certain Type (AGL excluded) to AGL Ki Spheres, All allies' ATK +70% (self excluded) for 2 turns when the character is the 2nd or 3rd to obtain Ki Spheres in a turn",,None,None,,,"Supreme Warrior, Cold Judgment, Infighter, Godly Power, Tournament of Power, Fierce Battle, Legendary Power","Universe Survival Saga, Transformation Boost, Realm of Gods, Full Power, Powerful Comeback, Universe 11, Super Bosses, Tournament Participants, Space-Traveling Warriors, Defenders of Justice, Battle of Fate",Can be activated when charge count is 25 or more (once only),"Dec 12, 2024",200%,130%,
Transformation,Jiren (Full Power),Solitary Iron Wall of Power,"Base Max Lv 55% 100% | HP 5,443 17,963 19,963 22,563 | ATK 4,731 15,615 17,615 20,615 | DEF 2,765 9,125 11,125 14,525","""Universe 11"" Category Ki +4 and HP, ATK & DEF +200%; or ""Universe Survival Saga"" Category Ki +3 and HP, ATK & DEF +200%",I Will Not Lose!,"Ki +11 and ATK & DEF +400%, Reduces damage received by 60%, Plus an additional damage reduction of 11% and foresees enemy's Super Attack for 1 turn from the character's entry turn, Plus an additional ATK & DEF +111% when attacking, Great chance of performing a critical hit and with each Super Attack performed, plus an additional chance of performing a critical hit +11%, Plus an additional ATK +50%, attacks guaranteed to hit and performs a critical hit when Ki is 24, Plus an additional ATK +50% with each Super Attack received",,Crimson Barrage,Greatly raises ATK and raises DEF for 1 turn and causes colossal damage to enemy,Omega Heat Magnetron,"Massively raises ATK and raises DEF for 1 turn, causes mega-colossal damage and stuns the enemy","Supreme Warrior, Shocking Speed, Infighter, Godly Power, Tournament of Power, Fierce Battle, Legendary Power","Universe Survival Saga, Transformation Boost, Realm of Gods, Full Power, Powerful Comeback, Universe 11, Super Bosses, Tournament Participants, Space-Traveling Warriors, Defenders of Justice, Battle of Fate",,"Dec 12, 2024",200%,425%,
Base,Super Saiyan 2 Vegeta,Indomitable Fighting Spirit,"Base Max Lv 55% 100% | HP 3,318 14,644 16,644 19,244 | ATK 3,787 16,717 18,717 22,117 | DEF 2,053 9,060 11,060 14,060","""Super Saiyan 2"" or ""Resurrected Warriors"" Category Ki +3 and HP, ATK & DEF +170%",Will for a Serious Fight,"Ki +2 and ATK & DEF +150%, Reduces damage received by 30%, Plus an additional ATK boost by up to 120% (the more HP remaining, the greater the ATK boost) and if HP is 50% or more, great chance of launching an additional Super Attack, Plus an additional DEF boost by up to 120% (the less HP remaining, the greater the DEF boost) and if HP is 50% or less, guards all attacks, Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is another ""Majin Buu Saga"" Category ally attacking in the same turn or a ""Majin Buu Saga"" Category enemy, Plus an additional damage reduction of 20% with a Rainbow Ki Sphere obtained, ATK & DEF +120% when attacking with 3 or more Ki Spheres obtained, Receives a boost from Babidi's sorcery when conditions are met",,Final Flash,Raises ATK & DEF for 1 turn and causes immense damage to enemy,,,"Saiyan Warrior Race, Super Saiyan, Saiyan Pride, Royal Lineage, Prepared for Battle, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Vegeta's Family, Super Saiyan 2, Power Beyond Super Saiyan, Uncontrollable Power, Corroded Body and Mind, Mastered Evolution, Worthy Rivals, Gifted Warriors, Resurrected Warriors","Receives a boost from Babidi's sorcery when facing only 1 enemy, whose HP is 50% or more, starting from the 3rd turn from the start of battle","Dec 10, 2024",150%,630%,
Transformation,Majin Vegeta,Indomitable Fighting Spirit,"Base Max Lv 55% 100% | HP 3,318 14,644 16,644 19,244 | ATK 3,787 16,717 18,717 22,117 | DEF 2,053 9,060 11,060 14,060","""Super Saiyan 2"" or ""Resurrected Warriors"" Category Ki +3 and HP, ATK & DEF +170%",Transformed Threat,"Ki +3 and ATK & DEF +200%, Reduces damage received by 33%, Plus an additional ATK boost by up to 150% (the more HP remaining, the greater the ATK boost) and if HP is 50% or more, launches an additional Super Attack, Plus an additional DEF boost by up to 150% (the less HP remaining, the greater the DEF boost) and if HP is 50% or less, guards all attacks, Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is another ""Majin Buu Saga"" Category ally attacking in the same turn or a ""Majin Buu Saga"" Category enemy, Plus an additional damage reduction of 33% with a Rainbow Ki Sphere obtained, ATK & DEF +130% when attacking and attacks effective against all Types with 3 or more Ki Spheres obtained, ATK & DEF +66% when attacking and guards all attacks with 6 or more Ki Spheres obtained",,Final Flash,Greatly raises ATK & DEF for 1 turn and causes immense damage with a great chance of stunning the enemy,,,"Saiyan Warrior Race, Super Saiyan, Saiyan Pride, Royal Lineage, Over in a Flash, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Vegeta's Family, Super Saiyan 2, Power Beyond Super Saiyan, Uncontrollable Power, Corroded Body and Mind, Mastered Evolution, Worthy Rivals, Gifted Warriors, Resurrected Warriors",,"May 8, 2020",150%,630%,
Base,Super Saiyan 2 Goku (Angel),Rousing Fighting Spirit,"Base Max Lv 55% 100% | HP 3,590 15,848 17,848 20,848 | ATK 3,769 16,637 18,637 21,637 | DEF 1,939 8,559 10,559 13,559","""Otherworld Warriors"" or ""Super Saiyan 3"" Category Ki +3 and HP, ATK & DEF +170%",Ready for a Serious Fight,"Ki +2 and ATK & DEF +150%, High chance of evading enemy's attack (including Super Attack), Plus an additional DEF boost by up to 120% (the more HP remaining, the greater the DEF boost) and if HP is 50% or more, chance of evading enemy's attack (including Super Attack) +20%, Plus an additional ATK boost by up to 120% (the less HP remaining, the greater the ATK boost) and if HP is 50% or less, chance of performing a critical hit +20%, Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is another ""Majin Buu Saga"" Category ally attacking in the same turn or a ""Majin Buu Saga"" Category enemy, Chance of performing a critical hit +50% with a Rainbow Ki Sphere obtained, ATK & DEF +120% when attacking with 3 or more Ki Spheres obtained, Transforms when conditions are met",,Super Kamehameha,Raises ATK & DEF for 1 turn and causes immense damage to enemy,,,"Saiyan Warrior Race, Super Saiyan, Golden Warrior, Kamehameha, Prepared for Battle, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Goku's Family, Super Saiyan 2, Super Saiyan 3, Power Beyond Super Saiyan, Transformation Boost, Kamehameha, Mastered Evolution, Time Limit, Bond of Parent and Child, Bond of Friendship, Turtle School, Earth-Bred Fighters, Otherworld Warriors, Resurrected Warriors, Connected Hope, Accelerated Battle","Transforms when facing only 1 enemy, whose HP is 50% or more, starting from the 3rd turn from the start of battle","Dec 10, 2024",150%,630%,
Transformation,Super Saiyan 3 Goku (Angel),Rousing Fighting Spirit,"Base Max Lv 55% 100% | HP 3,590 15,848 17,848 20,848 | ATK 3,769 16,637 18,637 21,637 | DEF 1,939 8,559 10,559 13,559","""Otherworld Warriors"" or ""Super Saiyan 3"" Category Ki +3 and HP, ATK & DEF +170%",Stunning Transformation,"Ki +3 and ATK & DEF +200%, High chance of evading enemy's attack (including Super Attack), Plus an additional DEF boost by up to 150% (the more HP remaining, the greater the DEF boost) and if HP is 50% or more, chance of evading enemy's attack (including Super Attack) +30%, Plus an additional ATK boost by up to 150% (the less HP remaining, the greater the ATK boost) and if HP is 50% or less, chance of performing a critical hit +30%, Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is another ""Majin Buu Saga"" Category ally attacking in the same turn or a ""Majin Buu Saga"" Category enemy, Chance of performing a critical hit +70% with a Rainbow Ki Sphere obtained, ATK & DEF +133% when attacking with 3 or more Ki Spheres obtained, Launches an additional Super Attack and all attacks become critical hits with 6 or more Ki Spheres obtained",,Super Kamehameha,Greatly raises ATK & DEF for 1 turn and causes immense damage with a great chance of stunning the enemy,,,"Limit-Breaking Form, Super Saiyan, Golden Warrior, Kamehameha, Over in a Flash, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Goku's Family, Super Saiyan 2, Super Saiyan 3, Power Beyond Super Saiyan, Transformation Boost, Kamehameha, Mastered Evolution, Time Limit, Bond of Parent and Child, Bond of Friendship, Turtle School, Earth-Bred Fighters, Otherworld Warriors, Resurrected Warriors, Connected Hope, Accelerated Battle",,"May 8, 2020",150%,630%,
Base,Ultimate Gohan,Ultimate Power Surge,"Base Max Lv 55% 100% | HP 3,962 11,892 14,692 18,892 | ATK 4,696 10,308 13,108 17,308 | DEF 2,567 5,744 8,544 12,744","INT Type Ki +3 and HP, ATK & DEF +70%",Victor's Fortitude,"ATK & DEF +158%, Ki +5 plus an additional ATK & DEF +100% when Ki is 7 or more, Plus an additional ATK & DEF +100% when performing a Super Attack, Launches an additional Super Attack and medium chance of attacks becoming critical hits when all allies are Super Class, Guards all attacks and medium chance of evading enemy's attack (including Super Attack) as the 2nd or 3rd attacker in a turn, Plus an additional DEF +30% (up to 120%) and chance of performing a critical hit & chance of evading enemy's attack (including Super Attack) +10% (up to 40%) with each Super Attack performed, Super Class allies' ATK & DEF +30% and if there is an Extreme Class enemy, plus an additional ATK & DEF +28%",,Burst Rush,Greatly raises ATK and causes immense damage to enemy,,,"Saiyan Warrior Race, The Saiyan Lineage, Infighter, Shocking Speed, Power Bestowed by God, Fierce Battle","Majin Buu Saga, Hybrid Saiyans, Goku's Family, Powerful Comeback, Power of Wishes, Demonic Power, Rapid Growth, Bond of Parent and Child, Siblings' Bond, Earth-Bred Fighters, Saviors, Revenge, Entrusted Will",,"Dec 3, 2024",140%,580%,
